brand_id;brand_name;count
3224;Робочий спецодяг;7131
2949;Косухи;7086
3716;Адаптери / конектори;7069
2412;Кермо;7057
2563;Електропроводка та компоненти;7029
2443;Газорозподільний механізм (ГРМ);7006
1730;Pozostałe osobowe;6996
824;Оздоблення, ремонт;6989
3000;Для манікюру і педикюру;6984
3653;Фігурки тварин;6940
2347;Подарункові коробки та пакування;6916
3492;Репетитори;6896
2762;Прямі джинси;6855
2693;Мокасини та сліпони;6791
2446;Кривошипно-шатунний механізм;6715
2886;Комбінезони з брюками;6697
2549;Лампочки;6661
2437;Компресори;6634
2904;Вузькі джинси / skinny;6625
21;Продаж гаражів, парковок;6618
3572;Іграшкова зброя;6601
2994;Інші спідниці;6579
726;Сировина / матеріали;6501
1978;Трактор сільськогосподарський;6488
3672;Інші фігурки;6458
3802;Мультиварки / пароварки;6458
2516;Пружини підвіски;6452
2479;Гідропідсилювач керма;6445
2156;GPS-навігатори / відеореєстратори;6439
2421;Захист картера та КПП;6428
2581;Для спецтехніки;6398
3420;Електровелосипеди;6366
3374;Берці;6364
3360;Камуфляжні костюми;6361
2494;Гальмівні колодки дискові;6359
1922;Продавець;6333
2465;Диференціали (редуктори);6330
2413;Ручки дверей та салону;6314
2043;Мотошоломи;6310
102;Ігри для приставок;6305
3814;Зволожувачі та осушувачі повітря;6251
2706;Мокасини;6244
2496;Гальмівні супорти;6231
2757;Лонгслів;6222
3809;Кондиціонери;6196
2546;Протитуманні фари;6181
2978;Спортивні топи;6175
2708;Кросівки для залу і тренувань;6156
2814;Спортивні футболки та майки;6139
2493;Гальмівні диски;6127
2703;Берці;6104
2197;Кабелі, адаптери, запобіжники;6098
3245;Підвіски;6090
3361;Штани;6089
651;Елементи кріплення;6018
3417;Велозахист;5983
1467;Ковпаки;5977
3717;Батарейки / акумулятори;5954
2571;Мастила та автохімія;5925
330;Довгострокова оренда будинків;5904
2186;Фаркопи;5889
421;Медіа програвачі;5882
2530;Замки запалювання та ключі;5864
1754;Кімнати;5833
3208;Валізи;5820
2888;Спортивні лосини;5748
2019;Мотоаксесуари;5598
3440;Авто;5571
2290;Каністри;5557
441;Телескопи / біноклі;5551
2188;Чохли, тенти, накидки;5548
2635;Челсі;5538
3408;Інше спорядження;5505
509;Аксесуари для музичних інструментів;5493
2379;Скло дверей;5484
3182;Кулони / підвіски;5425
1874;Готельно-ресторанний бізнес / Туризм;5379
150;Будівництво / облицювальні роботи;5363
826;Сантехніка та комунікації;5311
371;Мікрохвильові печі;5284
3015;Гігієнічні засоби;5253
3284;Інші аксесуари для телефонів;5243
2177;Наклейки, емблеми, значки;5237
3179;Хустки;5204
522;Меблі для передпокою;5180
1911;Водій;5155
3790;Соковижималки;5149
3677;Служба в Силах оборони;5110
622;Антикварні меблі;5103
3426;Квадрокоптери;5096
3188;Поясні сумки;5071
3487;Вивезення сміття;5070
2959;Інші шорти;5050
3704;Фурнітура (віконна, дверна);5029
3788;Електрочайники;5011
