input_brand,url,h1_text,parsed_brand,parsed_count,brand_slug
,https://auto.ria.com/uk/car/bolgan/,13 оголошень про продаж Bolgan,13 Оголошень Про Bolgan,13,bolgan
,https://auto.ria.com/uk/car/brig/,17 оголошень про продаж BRIG,17 Оголошень Про Brig,17,brig
,https://auto.ria.com/uk/car/bse/,90 оголошень про продаж BSE,90 Оголошень Про Bse,90,bse
,https://auto.ria.com/uk/car/burg/,22 оголошення про продаж Burg,22 Про Burg,22,burg
,https://auto.ria.com/uk/car/raf/,17 оголошень про продаж РАФ,17 Оголошень Про Раф,17,raf
,https://auto.ria.com/uk/car/vaz-lada/,16 500+ оголошень про продаж ВАЗ,16 500+ Оголошень Про Ваз,,vaz-lada
,https://auto.ria.com/uk/car/van-hool/,183 оголошення про продаж Van Hool,183 Про Van Hool,183,van-hool
,https://auto.ria.com/uk/car/wartburg/,14 оголошень про продаж Wartburg,14 Оголошень Про Wartburg,14,wartburg
,https://auto.ria.com/uk/car/vdl/,20 оголошень про продаж VDL,20 Оголошень Про Vdl,20,vdl
,https://auto.ria.com/uk/car/weightlifter/,13 оголошень про продаж Weightlifter,13 Оголошень Про Weightlifter,13,weightlifter
,https://auto.ria.com/uk/car/weltmeister/,33 оголошення про продаж Weltmeister,33 Про Weltmeister,33,weltmeister
,https://auto.ria.com/uk/car/wielton/,206 оголошень про продаж Wielton,206 Оголошень Про Wielton,206,wielton
,https://auto.ria.com/uk/car/weekend/,10 оголошень про продаж Weekend,10 Оголошень Про Weekend,10,weekend
,https://auto.ria.com/uk/car/victory/,18 оголошень про продаж Victory,18 Оголошень Про Victory,18,victory
,https://auto.ria.com/uk/car/wilcox/,23 оголошення про продаж Wilcox,23 Про Wilcox,23,wilcox
,https://auto.ria.com/uk/car/willig/,15 оголошень про продаж Willig,15 Оголошень Про Willig,15,willig
,https://auto.ria.com/uk/car/wirtgen/,14 оголошень про продаж Wirtgen,14 Оголошень Про Wirtgen,14,wirtgen
,https://auto.ria.com/uk/car/gaz/,2 200+ оголошень про продаж ГАЗ,2 200+ Оголошень Про Газ,,gaz
,https://auto.ria.com/uk/car/galeon/,13 оголошень про продаж Galeon,13 Оголошень Про Galeon,13,galeon
,https://auto.ria.com/uk/car/genesis/,29 оголошень про продаж Genesis,29 Оголошень Про Genesis,29,genesis
,https://auto.ria.com/uk/car/glastron/,10 оголошень про продаж Glastron,10 Оголошень Про Glastron,10,glastron
,https://auto.ria.com/uk/car/goldhofer/,12 оголошень про продаж Goldhofer,12 Оголошень Про Goldhofer,12,goldhofer
,https://auto.ria.com/uk/car/gofa/,10 оголошень про продаж GOFA,10 Оголошень Про Gofa,10,gofa
,https://auto.ria.com/uk/car/gras/,36 оголошень про продаж GRAS,36 Оголошень Про Gras,36,gras
,https://auto.ria.com/uk/car/groenewegen/,31 оголошення про продаж Groenewegen,31 Про Groenewegen,31,groenewegen
,https://auto.ria.com/uk/car/genie/,9 оголошень про продаж Genie,9 Оголошень Про Genie,9,genie
,https://auto.ria.com/uk/car/hidromek/,37 оголошень про продаж Hidromek,37 Оголошень Про Hidromek,37,hidromek
,https://auto.ria.com/uk/car/delta/,57 оголошень про продаж Delta,57 Оголошень Про Delta,57,delta
,https://auto.ria.com/uk/car/dennison/,36 оголошень про продаж Dennison,36 Оголошень Про Dennison,36,dennison
,https://auto.ria.com/uk/car/desot/,10 оголошень про продаж Desot,10 Оголошень Про Desot,10,desot
,https://auto.ria.com/uk/car/dethleffs/,15 оголошень про продаж Dethleffs,15 Оголошень Про Dethleffs,15,dethleffs
,https://auto.ria.com/uk/car/general-trailers/,68 оголошень про продаж General Trailers,68 Оголошень Про General Trailers,68,general-trailers
,https://auto.ria.com/uk/car/janmil/,63 оголошення про продаж Janmil,63 Про Janmil,63,janmil
,https://auto.ria.com/uk/car/jetour/,113 оголошень про продаж Jetour,113 Оголошень Про Jetour,113,jetour
